"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 21 20:02:35 IST 2023","Tue Mar 21 20:02:42 IST 2023","6614","Default Suite","Copa_API_WebServices","MODULES.WAVE3.CreateBookingService.TestRunner","MODULES.WAVE3.CreateBookingService.TestRunner","Scenario8","Scenario8","Create a booking with 2 segments, 2 passengers, stored fare (2 fare basis code, base fare, not valid before/after date, fare calculation line, 2 bagagge allowance, sale location, 3 free-flow remark, tour code, 2 endorsements, last ticketing date, bankers rate and form of payment CHECK) and ticketing"
"passed","Tue May 16 14:55:32 IST 2023","Tue May 16 14:55:34 IST 2023","1411","Default Suite","Copa_API_WebServices","MODULES.WAVE3.EncodeDecodeService.TestRunner","MODULES.WAVE3.EncodeDecodeService.TestRunner","Scenario2","Scenario2","Decode airline CO"
"passed","Tue Apr 11 15:35:48 IST 2023","Tue Apr 11 15:35:56 IST 2023","7981","Default Suite","Copa_API_WebServices","MODULES.WAVE3.DisplayBookingService.TestRunner","MODULES.WAVE3.DisplayBookingService.TestRunner","Scenario5","Scenario5","Display confirmed and waitlist booking list"
"passed","Mon Mar 27 16:29:36 IST 2023","Mon Mar 27 16:29:38 IST 2023","1410","Default Suite","Copa_API_WebServices","MODULES.WAVE3.ModifyTicketingService.TestRunner","MODULES.WAVE3.ModifyTicketingService.TestRunner","Scenario5","Scenario5","Void Error - no valid coupons to void (ticket already voided)"
"passed","Thu Feb 16 15:38:24 IST 2023","Thu Feb 16 15:38:32 IST 2023","8285","Default Suite","Copa_API_WebServices","MODULES.WAVE3.DepartureControlService.TestRunner","MODULES.WAVE3.DepartureControlService.TestRunner","Scenario10","Scenario10","Reinstate connecting passengers"
"passed","Wed Mar 22 17:53:21 IST 2023","Wed Mar 22 17:53:26 IST 2023","4802","Default Suite","Copa_API_WebServices","MODULES.WAVE3.CreateBookingService.TestRunner","MODULES.WAVE3.CreateBookingService.TestRunner","Scenario10","Scenario10","Stored fare - Ticketing item: Invalid bagagge allowance"
"passed","Mon Mar 27 16:29:35 IST 2023","Mon Mar 27 16:29:36 IST 2023","949","Default Suite","Copa_API_WebServices","MODULES.WAVE3.ModifyTicketingService.TestRunner","MODULES.WAVE3.ModifyTicketingService.TestRunner","Scenario3","Scenario3","Print an Eticket"
"passed","Tue Mar 21 21:21:47 IST 2023","Tue Mar 21 21:22:48 IST 2023","61041","Default Suite","Copa_API_WebServices","MODULES.WAVE3.CreateBookingService.TestRunner","MODULES.WAVE3.CreateBookingService.TestRunner","Scenario11","Scenario11","Waitlist booking (action code - LL)"
"passed","Thu Feb 16 11:45:00 IST 2023","Thu Feb 16 11:45:06 IST 2023","5562","Default Suite","Copa_API_WebServices","MODULES.WAVE3.DepartureControlService.TestRunner","MODULES.WAVE3.DepartureControlService.TestRunner","Scenario1","Scenario1","Assign aircraft"
"passed","Thu Apr 06 10:49:43 IST 2023","Thu Apr 06 10:49:51 IST 2023","7898","Default Suite","Copa_API_WebServices","MODULES.WAVE3.DisplayBookingService.TestRunner","MODULES.WAVE3.DisplayBookingService.TestRunner","Scenario16","Scenario16","No fare quote history in booking"
